279,1960-09-30,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20000279.jpg
294,1962-07-30,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20000294.jpg
300,1957-06-07,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20000300.jpg
301,1959-04-03,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20000301.jpg
305,1960-12-06,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20000305.jpg
306,1963-12-30,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20000306.jpg
1015,1974-04-19,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001015.jpg
1021,1973-02-28,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001021.jpg
1025,1974-07-29,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001025.jpg
1034,1977-10-31,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001034.jpg
1080,1978-10-03,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001080.jpg
1147,1977-05-26,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001147.jpg
1179,1977-11-22,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001179.jpg
1245,1976-06-18,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001245.jpg
1275,1976-09-05,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001275.jpg
1306,1980-04-17,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001306.jpg
1391,1979-03-21,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001391.jpg
1407,1977-04-15,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001407.jpg
1429,1979-04-20,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001429.jpg
1451,1978-01-17,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001451.jpg
1454,1979-05-17,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001454.jpg
1520,1981-04-26,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001520.jpg
1632,1977-02-07,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001632.jpg
1691,1978-10-02,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001691.jpg
1696,1982-01-27,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001696.jpg
1783,1977-09-15,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001783.jpg
1801,1983-01-26,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001801.jpg
1810,1982-10-05,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001810.jpg
1835,1983-03-06,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20001835.jpg
2067,1976-05-21,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002067.jpg
2093,1984-02-24,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002093.jpg
2106,1983-10-01,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002106.jpg
2118,1983-05-26,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002118.jpg
2198,1981-08-07,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002198.jpg
2199,1981-11-10,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002199.jpg
2222,1982-01-18,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002222.jpg
2236,1981-05-23,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002236.jpg
2248,1984-09-28,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002248.jpg
2251,1981-08-29,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002251.jpg
2288,1976-03-02,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002288.jpg
2308,1984-04-14,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002308.jpg
2320,1985-03-11,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002320.jpg
2338,1982-01-31,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002338.jpg
2353,1982-10-28,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002353.jpg
2358,1985-04-05,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002358.jpg
2364,1986-03-30,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20002364.jpg
2405,1978-08-12,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20010023.jpg
2416,1985-08-10,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20010035.jpg
2423,1984-01-30,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020002.jpg
2429,1983-06-26,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020008.jpg
2436,1987-03-18,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020015.jpg
2445,1986-07-03,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020024.jpg
2448,1986-07-28,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020027.jpg
2476,1986-12-16,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020055.jpg
2485,1983-08-25,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020064.jpg
2489,1979-06-21,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020068.jpg
2491,1985-07-15,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020070.jpg
2510,1983-02-19,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020091.jpg
2512,1986-08-21,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20020093.jpg
2518,1980-08-28,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030006.jpg
2522,1984-05-04,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030010.jpg
2523,1984-12-25,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030011.jpg
2536,1986-07-17,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030025.jpg
2562,1988-01-27,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030051.jpg
2565,1987-05-11,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030054.jpg
2568,1985-03-19,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030057.jpg
2569,1987-04-19,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030058.jpg
2579,1988-02-28,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030068.jpg
2585,1987-06-09,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030074.jpg
2598,1986-04-05,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030093.jpg
2604,1986-10-17,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030099.jpg
2605,1987-06-16,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030100.jpg
2606,1987-10-14,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030101.jpg
